آراستہ	सजाया हुआ
مزاج	हालचाल
مزید	अधिक
مسند	गोल तकिया
مشتمل	शामिल
مشرق	पूर्व
مصاحب	दोस्त
مصلحت	स्वार्थ
معقول	मुनासिब, पसंदीदा
مقامی	स्थानीय
مقرر	तय
مقفل	ताला लगा हुआ
ملا حظه	देखना
ملازم	कर्मचारी
موثر	असर करने वाला, कारगर
مُنتخب	पसंदीदा
میسر	जो चीज़ जो आसानी से हासिल हो, मौजूद
نباتات	वनस्पति
نجات	छुटकारा
نسیم	पिछली रात की हवा
نوش فرمانا	पीना (इज़्ज़त से)
نُمایاں	ज़ाहिर करना
نِسبت	लगाव, जुड़ाव
واضح	स्पष्ट
وسطی	दरमियानी
پامال	कुचला हुआ
پوست	खाल उतारना
پُرامادہ	तैयार, राज़ी
پیشانی	माथा
پیمبر	पैग़ाम पहुँचाने वाला
پیہم	लगातार
کرہ	क्षेत्र
کلام	बातचीत
کمبخت	कमीना
کوتاہیوں	कमियों
کیمیائی	रासायनिक
گِریہ	रोना पीटना
ھیچ	कम
ہولناک	डरावना, भयानक
